Date,Country,Population,Confirmed_Cases,New_Cases,Deaths,New_Deaths,Recovered,Active_Cases,Vaccinations,Death_Rate_Percent,Recovery_Rate_Percent
2020-06-01,India,1380000000,115287,1768,1628,33,100812,12847,0,1.41,87.44
2020-06-02,India,1380000000,117001,1714,1642,14,102332,13027,0,1.4,87.46
2020-06-03,India,1380000000,118930,1929,1679,37,104127,13124,0,1.41,87.55
2020-06-04,India,1380000000,120727,1797,1703,24,105662,13362,0,1.41,87.52
2020-06-05,India,1380000000,122527,1800,1738,35,107329,13460,0,1.42,87.6
2020-06-06,India,1380000000,124354,1827,1778,40,109081,13495,0,1.43,87.72
2020-06-07,India,1380000000,126791,2437,1829,51,111354,13608,0,1.44,87.82
2020-06-08,India,1380000000,128763,1972,1848,19,113052,13863,0,1.44,87.8
2020-06-09,India,1380000000,130227,1464,1872,24,114356,13999,0,1.44,87.81
2020-06-10,India,1380000000,132300,2073,1896,24,116015,14389,0,1.43,87.69
2020-06-11,India,1380000000,134275,1975,1932,36,117740,14603,0,1.44,87.69
2020-06-12,India,1380000000,137020,2745,1985,53,120153,14882,0,1.45,87.69
2020-06-13,India,1380000000,139313,2293,2013,28,121996,15304,0,1.44,87.57
2020-06-14,India,1380000000,141285,1972,2025,12,123802,15458,0,1.43,87.63
2020-06-15,India,1380000000,143796,2511,2048,23,125822,15926,0,1.42,87.5
2020-06-16,India,1380000000,146053,2257,2062,14,127724,16267,0,1.41,87.45
2020-06-17,India,1380000000,147469,1416,2080,18,129058,16331,0,1.41,87.52
2020-06-18,India,1380000000,149984,2515,2109,29,131252,16623,0,1.41,87.51
2020-06-19,India,1380000000,151765,1781,2137,28,132917,16711,0,1.41,87.58
2020-06-20,India,1380000000,154244,2479,2189,52,134916,17139,0,1.42,87.47
2020-06-21,India,1380000000,156193,1949,2208,19,136597,17388,0,1.41,87.45
2020-06-22,India,1380000000,158453,2260,2256,48,138560,17637,0,1.42,87.45
2020-06-23,India,1380000000,160854,2401,2279,23,140465,18110,0,1.42,87.32
2020-06-24,India,1380000000,162370,1516,2291,12,141682,18397,0,1.41,87.26
2020-06-25,India,1380000000,163984,1614,2309,18,143201,18474,0,1.41,87.33
2020-06-26,India,1380000000,166136,2152,2338,29,145138,18660,0,1.41,87.36
2020-06-27,India,1380000000,167957,1821,2350,12,146613,18994,0,1.4,87.29
2020-06-28,India,1380000000,169770,1813,2368,18,148084,19318,0,1.39,87.23
2020-06-29,India,1380000000,171297,1527,2386,18,149413,19498,0,1.39,87.22
2020-06-30,India,1380000000,173208,1911,2418,32,150917,19873,0,1.4,87.13
2020-07-01,India,1380000000,175379,2171,2433,15,152951,19995,0,1.39,87.21
2020-07-02,India,1380000000,177837,2458,2483,50,154895,20459,0,1.4,87.1
2020-07-03,India,1380000000,180144,2307,2524,41,156771,20849,0,1.4,87.03
2020-07-04,India,1380000000,181913,1769,2540,16,158268,21105,0,1.4,87
2020-07-05,India,1380000000,184945,3032,2576,36,160885,21484,0,1.39,86.99
2020-07-06,India,1380000000,186814,1869,2609,33,162355,21850,0,1.4,86.91
2020-07-07,India,1380000000,189116,2302,2655,46,164362,22099,0,1.4,86.91
2020-07-08,India,1380000000,190767,1651,2678,23,165681,22408,0,1.4,86.85
2020-07-09,India,1380000000,193359,2592,2703,25,167828,22828,0,1.4,86.8
2020-07-10,India,1380000000,194623,1264,2718,15,168818,23087,0,1.4,86.74
2020-07-11,India,1380000000,196246,1623,2736,18,170118,23392,0,1.39,86.69
2020-07-12,India,1380000000,197989,1743,2771,35,171663,23555,0,1.4,86.7
2020-07-13,India,1380000000,200356,2367,2804,33,173546,24006,0,1.4,86.62
2020-07-14,India,1380000000,202553,2197,2836,32,175491,24226,0,1.4,86.64
2020-07-15,India,1380000000,204353,1800,2850,14,176986,24517,0,1.39,86.61
2020-07-16,India,1380000000,206938,2585,2880,30,179302,24756,0,1.39,86.65
2020-07-17,India,1380000000,208312,1374,2909,29,180523,24880,0,1.4,86.66
2020-07-18,India,1380000000,210603,2291,2931,22,182351,25321,0,1.39,86.59
2020-07-19,India,1380000000,212378,1775,2946,15,183795,25637,0,1.39,86.54
2020-07-20,India,1380000000,214095,1717,2964,18,185187,25944,0,1.38,86.5
2020-07-21,India,1380000000,215316,1221,2990,26,186164,26162,0,1.39,86.46
2020-07-22,India,1380000000,217475,2159,3016,26,188224,26235,0,1.39,86.55
2020-07-23,India,1380000000,219460,1985,3036,20,189833,26591,0,1.38,86.5
2020-07-24,India,1380000000,221450,1990,3069,33,191718,26663,0,1.39,86.57
2020-07-25,India,1380000000,224176,2726,3097,28,194221,26858,0,1.38,86.64
2020-07-26,India,1380000000,226691,2515,3119,22,196329,27243,0,1.38,86.61
2020-07-27,India,1380000000,228659,1968,3138,19,197904,27617,0,1.37,86.55
2020-07-28,India,1380000000,229796,1137,3155,17,198849,27792,0,1.37,86.53
2020-07-29,India,1380000000,231306,1510,3175,20,200171,27960,0,1.37,86.54
2020-07-30,India,1380000000,233243,1937,3188,13,201799,28256,0,1.37,86.52
2020-07-31,India,1380000000,234891,1648,3215,27,203309,28367,0,1.37,86.55
2020-08-01,India,1380000000,236986,2095,3247,32,205120,28619,0,1.37,86.55
2020-08-02,India,1380000000,238308,1322,3274,27,206348,28686,0,1.37,86.59
2020-08-03,India,1380000000,239809,1501,3306,32,207552,28951,0,1.38,86.55
2020-08-04,India,1380000000,241663,1854,3322,16,209020,29321,0,1.37,86.49
2020-08-05,India,1380000000,243481,1818,3354,32,210626,29501,0,1.38,86.51
2020-08-06,India,1380000000,245221,1740,3386,32,212046,29789,0,1.38,86.47
2020-08-07,India,1380000000,247026,1805,3401,15,213507,30118,0,1.38,86.43
2020-08-08,India,1380000000,248964,1938,3428,27,215143,30393,0,1.38,86.42
2020-08-09,India,1380000000,251069,2105,3470,42,216933,30666,0,1.38,86.4
2020-08-10,India,1380000000,252729,1660,3489,19,218366,30874,0,1.38,86.4
2020-08-11,India,1380000000,254910,2181,3512,23,220360,31038,0,1.38,86.45
2020-08-12,India,1380000000,256200,1290,3538,26,221455,31207,0,1.38,86.44
2020-08-13,India,1380000000,257908,1708,3563,25,223065,31280,0,1.38,86.49
2020-08-14,India,1380000000,259351,1443,3593,30,224353,31405,0,1.39,86.51
2020-08-15,India,1380000000,261121,1770,3613,20,225777,31731,0,1.38,86.46
2020-08-16,India,1380000000,262951,1830,3639,26,227498,31814,0,1.38,86.52
2020-08-17,India,1380000000,265027,2076,3677,38,229173,32177,0,1.39,86.47
2020-08-18,India,1380000000,266380,1353,3701,24,230236,32443,0,1.39,86.43
2020-08-19,India,1380000000,267792,1412,3722,21,231531,32539,0,1.39,86.46
2020-08-20,India,1380000000,269318,1526,3751,29,232751,32816,0,1.39,86.42
2020-08-21,India,1380000000,271191,1873,3787,36,234254,33150,0,1.4,86.38
2020-08-22,India,1380000000,273210,2019,3803,16,235912,33495,0,1.39,86.35
2020-08-23,India,1380000000,274678,1468,3828,25,237247,33603,0,1.39,86.37
2020-08-24,India,1380000000,276704,2026,3857,29,238919,33928,0,1.39,86.34
2020-08-25,India,1380000000,278584,1880,3878,21,240446,34260,0,1.39,86.31
2020-08-26,India,1380000000,280189,1605,3897,19,241831,34461,0,1.39,86.31
2020-08-27,India,1380000000,281985,1796,3934,37,243281,34770,0,1.4,86.27
2020-08-28,India,1380000000,283569,1584,3959,25,244521,35089,0,1.4,86.23
2020-08-29,India,1380000000,286020,2451,4007,48,246844,35169,0,1.4,86.3
2020-08-30,India,1380000000,288103,2083,4050,43,248733,35320,0,1.41,86.33
2020-08-31,India,1380000000,289772,1669,4064,14,250207,35501,0,1.4,86.35
2020-09-01,India,1380000000,290942,1170,4084,20,251316,35542,0,1.4,86.38
2020-09-02,India,1380000000,293019,2077,4127,43,253104,35788,0,1.41,86.38
2020-09-03,India,1380000000,295338,2319,4155,28,254935,36248,0,1.41,86.32
2020-09-04,India,1380000000,296940,1602,4173,18,256416,36351,0,1.41,86.35
2020-09-05,India,1380000000,298627,1687,4207,34,257837,36583,0,1.41,86.34
2020-09-06,India,1380000000,299573,946,4217,10,258700,36656,0,1.41,86.36
2020-09-07,India,1380000000,300662,1089,4231,14,259577,36854,0,1.41,86.34
2020-09-08,India,1380000000,302014,1352,4242,11,260752,37020,0,1.4,86.34
2020-09-09,India,1380000000,303641,1627,4261,19,262191,37189,0,1.4,86.35
2020-09-10,India,1380000000,305000,1359,4282,21,263254,37464,0,1.4,86.31
2020-09-11,India,1380000000,306156,1156,4306,24,264186,37664,0,1.41,86.29
2020-09-12,India,1380000000,307670,1514,4325,19,265390,37955,0,1.41,86.26
2020-09-13,India,1380000000,309041,1371,4346,21,266475,38220,0,1.41,86.23
2020-09-14,India,1380000000,310442,1401,4371,25,267620,38451,0,1.41,86.21
2020-09-15,India,1380000000,311768,1326,4383,12,268663,38722,0,1.41,86.17
2020-09-16,India,1380000000,313151,1383,4401,18,269882,38868,0,1.41,86.18
2020-09-17,India,1380000000,314868,1717,4423,22,271345,39100,0,1.4,86.18
2020-09-18,India,1380000000,315691,823,4435,12,272009,39247,0,1.4,86.16
2020-09-19,India,1380000000,317084,1393,4464,29,273189,39431,0,1.41,86.16
2020-09-20,India,1380000000,318340,1256,4476,12,274314,39550,0,1.41,86.17
2020-09-21,India,1380000000,319565,1225,4486,10,275427,39652,0,1.4,86.19
2020-09-22,India,1380000000,320850,1285,4507,21,276435,39908,0,1.4,86.16
2020-09-23,India,1380000000,321990,1140,4526,19,277328,40136,0,1.41,86.13
2020-09-24,India,1380000000,323120,1130,4534,8,278372,40214,0,1.4,86.15
2020-09-25,India,1380000000,324524,1404,4547,13,279492,40485,0,1.4,86.12
2020-09-26,India,1380000000,325580,1056,4557,10,280452,40571,0,1.4,86.14
2020-09-27,India,1380000000,326907,1327,4573,16,281646,40688,0,1.4,86.15
2020-09-28,India,1380000000,328233,1326,4585,12,282750,40898,0,1.4,86.14
2020-09-29,India,1380000000,329168,935,4603,18,283616,40949,0,1.4,86.16
2020-09-30,India,1380000000,330897,1729,4622,19,285045,41230,0,1.4,86.14
2020-10-01,India,1380000000,332487,1590,4638,16,286463,41386,0,1.39,86.16
2020-10-02,India,1380000000,333399,912,4649,11,287264,41486,0,1.39,86.16
2020-10-03,India,1380000000,334309,910,4668,19,288098,41543,0,1.4,86.18
2020-10-04,India,1380000000,335437,1128,4677,9,289154,41606,0,1.39,86.2
2020-10-05,India,1380000000,336916,1479,4704,27,290420,41792,0,1.4,86.2
2020-10-06,India,1380000000,338149,1233,4711,7,291441,41997,0,1.39,86.19
2020-10-07,India,1380000000,339973,1824,4729,18,292909,42335,0,1.39,86.16
2020-10-08,India,1380000000,341368,1395,4756,27,294244,42368,0,1.39,86.2
2020-10-09,India,1380000000,342347,979,4766,10,295010,42571,0,1.39,86.17
2020-10-10,India,1380000000,343604,1257,4791,25,296017,42796,0,1.39,86.15
2020-10-11,India,1380000000,344524,920,4804,13,296842,42878,0,1.39,86.16
2020-10-12,India,1380000000,345886,1362,4830,26,297954,43102,0,1.4,86.14
2020-10-13,India,1380000000,347538,1652,4857,27,299294,43387,0,1.4,86.12
2020-10-14,India,1380000000,349176,1638,4890,33,300695,43591,0,1.4,86.12
2020-10-15,India,1380000000,350499,1323,4898,8,301766,43835,0,1.4,86.1
2020-10-16,India,1380000000,351306,807,4912,14,302407,43987,0,1.4,86.08
2020-10-17,India,1380000000,352262,956,4923,11,303202,44137,0,1.4,86.07
2020-10-18,India,1380000000,353639,1377,4939,16,304454,44246,0,1.4,86.09
2020-10-19,India,1380000000,355017,1378,4957,18,305693,44367,0,1.4,86.11
2020-10-20,India,1380000000,355925,908,4976,19,306520,44429,0,1.4,86.12
2020-10-21,India,1380000000,357318,1393,4985,9,307730,44603,0,1.4,86.12
2020-10-22,India,1380000000,358270,952,4999,14,308529,44742,0,1.4,86.12
2020-10-23,India,1380000000,359449,1179,5007,8,309603,44839,0,1.39,86.13
2020-10-24,India,1380000000,360765,1316,5025,18,310792,44948,0,1.39,86.15
2020-10-25,India,1380000000,361720,955,5043,18,311674,45003,0,1.39,86.16
2020-10-26,India,1380000000,362901,1181,5063,20,312653,45185,0,1.4,86.15
2020-10-27,India,1380000000,363829,928,5069,6,313530,45230,0,1.39,86.18
2020-10-28,India,1380000000,365403,1574,5081,12,315026,45296,0,1.39,86.21
2020-10-29,India,1380000000,366418,1015,5095,14,315977,45346,0,1.39,86.23
2020-10-30,India,1380000000,367660,1242,5117,22,317126,45417,0,1.39,86.26
2020-10-31,India,1380000000,369299,1639,5149,32,318478,45672,0,1.39,86.24
2020-11-01,India,1380000000,370881,1582,5170,21,319774,45937,0,1.39,86.22
2020-11-02,India,1380000000,372404,1523,5179,9,321153,46072,0,1.39,86.24
2020-11-03,India,1380000000,373758,1354,5193,14,322434,46131,0,1.39,86.27
2020-11-04,India,1380000000,375388,1630,5224,31,323799,46365,0,1.39,86.26
2020-11-05,India,1380000000,376708,1320,5249,25,324837,46622,0,1.39,86.23
2020-11-06,India,1380000000,377754,1046,5257,8,325667,46830,0,1.39,86.21
2020-11-07,India,1380000000,379239,1485,5282,25,326916,47041,0,1.39,86.2
2020-11-08,India,1380000000,380542,1303,5296,14,328058,47188,0,1.39,86.21
2020-11-09,India,1380000000,381952,1410,5322,26,329238,47392,0,1.39,86.2
2020-11-10,India,1380000000,383572,1620,5347,25,330569,47656,0,1.39,86.18
2020-11-11,India,1380000000,385041,1469,5356,9,331944,47741,0,1.39,86.21
2020-11-12,India,1380000000,386641,1600,5386,30,333479,47776,0,1.39,86.25
2020-11-13,India,1380000000,388071,1430,5402,16,334791,47878,0,1.39,86.27
2020-11-14,India,1380000000,389375,1304,5422,20,336013,47940,0,1.39,86.3
2020-11-15,India,1380000000,390296,921,5442,20,336858,47996,0,1.39,86.31
2020-11-16,India,1380000000,391369,1073,5461,19,337741,48167,0,1.4,86.3
2020-11-17,India,1380000000,392436,1067,5469,8,338641,48326,0,1.39,86.29
2020-11-18,India,1380000000,393669,1233,5481,12,339612,48576,0,1.39,86.27
2020-11-19,India,1380000000,394902,1233,5488,7,340792,48622,0,1.39,86.3
2020-11-20,India,1380000000,395963,1061,5505,17,341661,48797,0,1.39,86.29
2020-11-21,India,1380000000,397183,1220,5530,25,342785,48868,0,1.39,86.3
2020-11-22,India,1380000000,398668,1485,5559,29,344195,48914,0,1.39,86.34
2020-11-23,India,1380000000,399999,1331,5576,17,345380,49043,0,1.39,86.35
2020-11-24,India,1380000000,401921,1922,5603,27,346958,49360,0,1.39,86.32
2020-11-25,India,1380000000,404026,2105,5621,18,348683,49722,0,1.39,86.3
2020-11-26,India,1380000000,405780,1754,5641,20,350069,50070,0,1.39,86.27
2020-11-27,India,1380000000,407212,1432,5671,30,351413,50128,0,1.39,86.3
2020-11-28,India,1380000000,408723,1511,5698,27,352780,50245,0,1.39,86.31
2020-11-29,India,1380000000,410044,1321,5709,11,354004,50331,0,1.39,86.33
2020-11-30,India,1380000000,411494,1450,5730,21,355289,50475,0,1.39,86.34
2020-12-01,India,1380000000,412959,1465,5752,22,356455,50752,0,1.39,86.32
2020-12-02,India,1380000000,414531,1572,5764,12,357932,50835,0,1.39,86.35
2020-12-03,India,1380000000,416413,1882,5804,40,359692,50917,0,1.39,86.38
2020-12-04,India,1380000000,418299,1886,5831,27,361192,51276,0,1.39,86.35
2020-12-05,India,1380000000,420397,2098,5857,26,362969,51571,0,1.39,86.34
2020-12-06,India,1380000000,422440,2043,5885,28,364592,51963,0,1.39,86.31
2020-12-07,India,1380000000,423923,1483,5899,14,365931,52093,0,1.39,86.32
2020-12-08,India,1380000000,424872,949,5913,14,366812,52147,0,1.39,86.33
2020-12-09,India,1380000000,426405,1533,5930,17,368194,52281,0,1.39,86.35
2020-12-10,India,1380000000,427752,1347,5957,27,369438,52357,0,1.39,86.37
